Projeto;101;;;;
Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"como preparar narguile para fumar";"10";"0.00";"0.00";"16000";"0.60,0.99,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.20"
"como fazer um bong para fumar";"10";"0.00";"0.00";"127000";"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.99,0.67,0.33,0.67,0.33"
"parar de fumar com laser";"10";"1.16";"0.70";"148000";"0.11,0.11,0.33,0.11,0.78,0.11,0.99,0.11,0.44,0.11,0.11,0.11"
"parei de fumar e estou com falta de ar";"10";"0.00";"0.05";"280000";"0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.99,0.20,0.20,0.20,0.20"
"para de fumar com drauzio varella";"10";"0.00";"0.00";"47000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00"
"dicas para parar de fumar com drauzio varella";"10";"0.00";"0.00";"11000";"0.07,0.99,0.29,0.79,0.14,0.07,0.21,0.07,0.00,0.00,0.00,0.00"
"como parar de fumar pdf";"10";"0.00";"0.40";"1340000";"0.33,0.33,0.33,0.33,0.67,0.99,0.67,0.33,0.67,0.33,0.33,0.33"
"parei de fumar com cigarro eletronico";"10";"1.72";"0.14";"4000";"0.80,0.80,0.99,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40"
"como parar de fumar remedio caseiro";"10";"0.88";"0.14";"20000";"0.14,0.43,0.14,0.71,0.14,0.14,0.14,0.57,0.14,0.43,0.43,0.99"
"como parar de fumar fumando";"10";"0.32";"0.32";"10200000";"0.03,0.03,0.03,0.03,0.06,0.12,0.99,0.53,0.81,0.44,0.44,0.53"
"como parar fumar maconha";"10";"0.00";"0.08";"241000";"0.11,0.22,0.11,0.22,0.11,0.99,0.11,0.11,0.11,0.78,0.11,0.44"
