Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"como abandonar o vicio do cigarro";"30";"0.00";"0.11";"364000";"0.78,0.33,1.00,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22"
"remedio para cigarro";"30";"1.48";"0.57";"5430000";"0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25"
"produtos do fumo";"30";"0.00";"0.23";"18700000";"0.11,0.11,0.22,0.44,0.11,0.33,0.11,0.11,0.11,0.00,0.11,1.00"
"como saber se uma pessoa fuma cigarro";"30";"0.00";"0.25";"16000000";"0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.12,1.00,0.04,0.08,0.04"
"alimentos para parar de fumar";"20";"1.56";"0.11";"6960000";"0.29,0.71,0.14,0.43,0.14,0.14,0.14,0.57,0.14,1.00,1.00,0.43"
"não ao fumo";"20";"0.00";"0.00";"51900000";"1.00,0.33,0.78,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22"
"curso como deixar de fumar";"20";"0.00";"0.20";"649000";"0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.67,0.33,0.33,0.33"
"como acabar com a vontade de fumar";"20";"0.00";"0.21";"2960000";"0.22,0.11,0.22,1.00,0.11,0.33,0.11,0.11,0.11,0.33,0.11,0.56"
"campanha contra tabagismo";"20";"0.00";"0.03";"609000";"0.01,0.01,0.02,0.01,0.05,0.24,0.82,0.01,1.00,0.01,0.01,0.01"
"como passar a vontade de fumar";"20";"2.00";"0.14";"2730000";"0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.33,0.33"
"o que fazer para passar a vontade de fumar";"20";"2.60";"0.11";"2650000";"0.29,0.14,0.29,1.00,0.14,0.43,0.14,0.14,0.14,0.29,0.14,0.71"
"vontade de fumar um cigarro";"20";"0.08";"0.16";"1360000";"0.20,0.20,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.20"
"contra o fumo";"20";"2.16";"0.02";"42500000";"0.02,0.02,0.02,0.02,0.10,0.02,0.06,0.04,0.04,0.02,1.00,0.02"
"suco detox para parar de fumar";"20";"0.00";"0.12";"0";"0.20,0.20,0.20,0.20,1.00,0.20,0.60,0.20,0.60,0.20,0.60,0.20"
"drauzio varela fuma";"20";"0.00";"0.00";"0";"0.22,1.00,0.33,0.11,0.11,0.22,0.11,0.11,0.11,0.22,0.11,0.11"
"o que fumar";"20";"0.00";"0.00";"43500000";"0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.67,0.33"
"programa de tabagismo";"20";"0.76";"0.03";"2600000";"0.14,0.14,0.29,0.14,0.71,0.14,0.71,0.14,1.00,0.14,0.14,0.14"
"fumo e saude";"20";"1.36";"0.02";"839000";"0.35,0.02,0.02,0.02,0.19,0.02,0.08,0.67,1.00,0.02,0.06,0.02"
