Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"dicas parar de fumar";"210";"0.40";"0.10";"702000";"0.53,1.00,0.53,0.66,0.66,0.81,0.66,0.81,0.81,0.66,0.66,0.66"
"o que é bom para parar de fumar";"110";"0.40";"0.27";"1940000";"0.50,0.79,0.64,0.64,0.64,1.00,0.79,1.00,1.00,0.79,1.00,0.64"
"como deixar de fumar em 5 dias";"110";"0.60";"0.09";"3150000";"0.53,1.00,1.00,0.65,0.29,0.82,0.65,0.53,0.41,0.53,1.00,0.82"
"me ajude a parar de fumar";"90";"0.32";"0.37";"4800000";"0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50,1.00,0.50,0.50,0.50"
"fumar não";"90";"0.00";"0.00";"69600000";"0.22,0.11,0.22,1.00,0.11,0.22,0.11,0.11,0.11,0.33,0.11,0.44"
"estou parando de fumar";"70";"0.84";"0.26";"20500000";"0.80,1.00,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20"
"cigarro para quem quer parar de fumar";"50";"0.00";"0.04";"4560000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.11,1.00,0.11"
"dicas como parar de fumar";"30";"0.44";"0.20";"742000";"1.00,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.50,0.25"
"cigarro como parar";"30";"0.16";"0.18";"5800000";"0.60,0.80,0.40,0.80,0.40,0.40,0.60,0.40,0.80,1.00,0.80,0.80"
"como se para de fumar";"30";"0.04";"0.57";"166000000";"0.00,0.20,0.00,0.00,1.00,0.20,0.00,0.00,0.40,0.20,0.80,0.20"
"pare de fumar perto de mim";"20";"0.00";"0.00";"13900000";"0.29,0.14,0.14,0.00,0.14,0.43,0.14,0.14,0.14,0.57,0.14,1.00"
"campanha pare de fumar";"10";"0.00";"0.09";"118000000";"0.14,0.14,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.14,0.14,0.14"
"cigarro que ajuda a parar de fumar";"10";"0.00";"0.10";"1210000";"0.22,0.11,0.22,1.00,0.11,0.22,0.11,0.11,0.11,0.33,0.11,0.56"
"cigarros para deixar de fumar";"10";"0.52";"0.40";"2780000";"0.25,0.25,0.25,0.25,1.00,0.25,0.50,0.25,0.75,0.25,0.75,0.25"
"dicas para deixar o cigarro";"10";"0.00";"0.00";"2990000";"0.11,0.22,0.00,0.33,0.11,0.56,0.11,0.11,0.11,1.00,0.11,0.33"
"como evitar o cigarro";"10";"1.36";"0.13";"12000000";"0.60,1.00,0.80,0.20,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20"
"truques para parar de fumar";"10";"0.44";"0.35";"245000";"0.22,1.00,0.03,0.03,0.03,0.03,0.44,0.03,0.53,0.81,0.06,0.03"
"dicas para deixar de fumar";"10";"0.28";"0.27";"7390000";"0.22,0.44,0.11,0.44,0.11,0.11,0.11,0.33,0.11,1.00,0.78,0.22"
"evitar fumar";"10";"0.00";"0.08";"33200000";"1.00,0.60,0.80,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40"
"preciso de ajuda para parar de fumar";"10";"1.08";"0.49";"9620000";"0.14,0.14,0.43,0.14,0.71,0.14,0.57,0.14,1.00,0.14,0.14,0.14"
"pare de fumar em 5 dias";"10";"0.08";"0.22";"81900000";"0.60,1.00,0.40,0.20,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20"
"dicas para quem esta parando de fumar";"10";"0.00";"0.03";"5610000";"0.11,0.22,0.11,0.22,0.11,1.00,0.11,0.11,0.11,0.78,0.11,0.44"
"como parar de fumar urgente";"10";"0.72";"0.41";"0";"0.14,0.57,0.14,0.71,0.14,0.14,0.14,0.71,0.14,0.43,0.29,1.00"
"deixe de fumar em 5 dias";"10";"0.00";"0.14";"15800000";"0.20,0.20,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.20"
"truques para deixar de fumar";"10";"0.00";"0.10";"332000";"0.25,0.25,0.00,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25"
"como parar de fumar cigarro rapido";"590";"0.84";"0.33";"5010000";"0.16,0.30,0.20,0.25,0.20,0.30,0.55,0.77,0.77,1.00,0.77,0.55"
"como parar de fumar definitivamente";"390";"0.60";"0.33";"427000";"0.11,0.32,0.26,0.21,0.17,0.21,0.17,0.32,0.59,1.00,0.59,0.72"
"como parar de fumar cigarro em 5 dias";"390";"0.40";"0.27";"17800000";"0.19,0.82,0.67,1.00,0.67,0.55,0.30,0.44,0.30,0.12,0.08,0.08"
"como parar de fumar rapido";"260";"0.44";"0.36";"28000000";"0.35,0.35,0.35,0.54,0.23,0.35,0.35,0.67,0.54,0.44,1.00,1.00"
"produtos para parar de fumar";"140";"0.72";"1.00";"2970000";"0.67,0.67,0.52,0.81,0.67,1.00,0.52,0.81,0.81,0.67,0.81,0.67"
"preciso parar de fumar urgente me ajudem";"140";"0.72";"0.47";"0";"0.42,0.35,0.27,0.27,0.35,0.54,0.65,1.00,1.00,0.65,0.81,0.65"
"quero parar de fumar urgente";"110";"0.24";"0.48";"0";"0.79,1.00,0.64,0.64,0.64,1.00,0.79,1.00,1.00,1.00,1.00,0.79"
"o que fazer quando da vontade de fumar";"50";"0.64";"0.05";"2920000";"0.80,1.00,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20"
"parar de fumar de uma vez";"40";"0.68";"0.14";"7770000";"0.05,0.23,0.03,1.00,0.03,0.03,0.03,0.08,0.03,0.13,0.10,0.10"
"quero fumar cigarro";"30";"0.00";"0.10";"20900000";"0.25,0.25,0.25,0.25,1.00,0.25,0.50,0.25,0.75,0.25,0.75,0.25"
